X,Y,Disp_x,Disp_y
0.39,-0.0475,-0.0168942690932005,-0.0697985382796131
0.3925,-0.0475,-0.0170025711550487,-0.0706905863112001
0.395,-0.0475,-0.0171108735431762,-0.0715883343274925
0.3975,-0.0475,-0.0172191762946567,-0.0724917823524755
0.4,-0.0475,-0.0173274794495267,-0.0734009304155085
0.4025,-0.0475,-0.0174357830508555,-0.0743157785521174
0.405,-0.0475,-0.0175440871447848,-0.0752363268048758
0.4075,-0.0475,-0.0176523917805338,-0.0761625752243816
0.41,-0.0475,-0.0177606970103598,-0.0770945238703379
0.4125,-0.0475,-0.0178690028894677,-0.0780321728127453
0.415,-0.0475,-0.0179773094758577,-0.0789755221332167
0.4175,-0.0475,-0.0180856168301006,-0.079924571926423
0.42,-0.0475,-0.0181939250150305,-0.0808793223016834
0.4225,-0.0475,-0.0183022340953403,-0.0818397733847116
0.425,-0.0475,-0.0184105441370664,-0.0828059253195365
0.4275,-0.0475,-0.0185188552069476,-0.0837777782706165
0.43,-0.0475,-0.0186271673716388,-0.0847553324251741
0.4325,-0.0475,-0.0187354806967613,-0.0857385879957837
0.435,-0.0475,-0.0188437952457642,-0.0867275452232577
0.4375,-0.0475,-0.018952111078571,-0.0877222043798891
0.44,-0.0475,-0.0190604282499757,-0.0887225657731342
0.4425,-0.0475,-0.0191687468077453,-0.0897286297498431
0.445,-0.0475,-0.0192770667903709,-0.0907403967011938
0.4475,-0.0475,-0.0193853882243881,-0.09175786706854
0.45,-0.0475,-0.0194937111211553,-0.0927810413504731
0.4525,-0.0475,-0.0196020354729276,-0.0938099201115179
0.455,-0.0475,-0.0197103612479856,-0.0948445039930644
0.4575,-0.0475,-0.0198186883844559,-0.0958847937274013
0.46,-0.0475,-0.019927016782261,-0.0969307901561233
0.4625,-0.0475,-0.0200353462923275,-0.097982494254796
0.465,-0.0475,-0.0201436767016719,-0.099039907166731
0.4675,-0.0475,-0.0202520077121776,-0.100103030250257
0.47,-0.0475,-0.0203603389095832,-0.101171865146369
0.4725,-0.0475,-0.0204686697171862,-0.102246413877731
0.475,-0.0475,-0.0205769993257617,-0.103326678996855
0.4775,-0.0475,-0.0206853265871656,-0.104412663812756
