X,Y,Sigma_x,Sigma_y,Tau_xy
0.19,-0.0475,-47.389698697128,1.43674789399029e-07,-1.79578095982347e-06
0.1925,-0.0475,-47.3896972117079,1.11477724236882e-07,-1.8291275331872e-06
0.195,-0.0475,-47.3896956788318,8.40361410088993e-08,-1.83300243928689e-06
0.1975,-0.0475,-47.3896941266571,6.08246804034707e-08,-1.81311945514813e-06
0.2,-0.0475,-47.3896925780572,4.13654603903524e-08,-1.77444922004148e-06
0.2025,-0.0475,-47.3896910512882,2.52294925691861e-08,-1.72130062340662e-06
0.205,-0.0475,-47.3896895605933,1.20326261547158e-08,-1.65739988684336e-06
0.2075,-0.0475,-47.3896881167357,1.42873031923803e-09,-1.58595586804052e-06
0.21,-0.0475,-47.3896867274599,-6.88646769238706e-09,-1.50972522232803e-06
0.2125,-0.0475,-47.3896853979143,-1.31821871936684e-08,-1.43107050426527e-06
0.215,-0.0475,-47.3896841310055,-1.76957281420679e-08,-1.35201331612674e-06
0.2175,-0.0475,-47.3896829277141,-2.06377202734605e-08,-1.27428011163315e-06
0.22,-0.0475,-47.3896817873608,-2.21802765783726e-08,-1.19935047646994e-06
0.2225,-0.0475,-47.3896807078401,-2.2474798318702e-08,-1.12848479847753e-06
0.225,-0.0475,-47.3896796858198,-2.16509263850639e-08,-1.06276955897748e-06
0.2275,-0.0475,-47.3896787169025,-1.98115852612091e-08,-1.00314924458833e-06
0.23,-0.0475,-47.3896777957607,-1.70430170716903e-08,-9.50445818909129e-07
0.2325,-0.0475,-47.3896769162474,-1.34104674032187e-08,-9.05388584622931e-07
0.235,-0.0475,-47.3896760714863,-8.96137801002321e-09,-8.68639433900439e-07
0.2375,-0.0475,-47.3896752539449,-3.73261007287814e-09,-8.40807594493231e-07
0.24,-0.0475,-47.3896744554729,2.2583392933484e-09,-8.2246716559542e-07
0.2425,-0.0475,-47.3896736673514,9.00483717221808e-09,-8.14177301078356e-07
0.245,-0.0475,-47.3896728803067,1.65095605334879e-08,-8.16487162778416e-07
0.2475,-0.0475,-47.3896720845262,2.47933330162671e-08,-8.29948759291839e-07
0.25,-0.0475,-47.3896712696635,3.38755246076516e-08,-8.551243473968e-07
0.2525,-0.0475,-47.3896704248323,4.37865423918993e-08,-8.92595854766013e-07
0.255,-0.0475,-47.389669538602,5.45692007136722e-08,-9.42969007711181e-07
0.2575,-0.0475,-47.3896685989837,6.62651438905944e-08,-1.00686934573213e-06
0.26,-0.0475,-47.3896675934235,7.89151665496017e-08,-1.08494717483236e-06
0.2625,-0.0475,-47.3896665087959,9.25706539571062e-08,-1.17787358215142e-06
0.265,-0.0475,-47.3896653313916,1.07279657157733e-07,-1.28633377454353e-06
0.2675,-0.0475,-47.3896640469267,1.23083169138264e-07,-1.41102212535456e-06
0.27,-0.0475,-47.389662640556,1.40022382429568e-07,-1.55262492322154e-06
0.2725,-0.0475,-47.3896610968921,1.58138261596719e-07,-1.71181479248957e-06
0.275,-0.0475,-47.3896594000599,1.77445867185118e-07,-1.88922177048652e-06
0.2775,-0.0475,-47.3896575337413,1.97959828677578e-07,-2.08542118047365e-06
0.28,-0.0475,-47.3896554812819,2.19672288655678e-07,-2.30090009724811e-06
0.2825,-0.0475,-47.3896532257893,2.42551479345821e-07,-2.5360259191809e-06
0.285,-0.0475,-47.3896507502949,2.66540382061938e-07,-2.79100583099508e-06
0.2875,-0.0475,-47.3896480379399,2.91553536276486e-07,-3.06584245169753e-06
0.29,-0.0475,-47.3896450722217,3.17463352790999e-07,-3.36028475700356e-06
0.2925,-0.0475,-47.3896418372772,3.44095922718187e-07,-3.67376926601234e-06
0.295,-0.0475,-47.3896383182449,3.71225217676852e-07,-4.00534044676474e-06
0.2975,-0.0475,-47.3896345016876,3.98554723446409e-07,-4.35357015393656e-06
0.3,-0.0475,-47.3896303761067,4.25718891842545e-07,-4.71647877448948e-06
0.3025,-0.0475,-47.389625932543,4.52270957277771e-07,-5.09142187099521e-06
0.305,-0.0475,-47.3896211652834,4.77651055300991e-07,-5.47497335217269e-06
0.3075,-0.0475,-47.3896160726833,5.01195527154626e-07,-5.86278285177877e-06
0.31,-0.0475,-47.3896106581324,5.22110163695781e-07,-6.24944295741596e-06
0.3125,-0.0475,-47.3896049311541,5.39447918631216e-07,-6.62830992371558e-06
0.315,-0.0475,-47.3895989086856,5.52097487134991e-07,-6.99131533291967e-06
0.3175,-0.0475,-47.3895926165311,5.5875372891497e-07,-7.3287531599057e-06
0.32,-0.0475,-47.3895860910264,5.57896209822199e-07,-7.62905869532611e-06
0.3225,-0.0475,-47.3895793809266,5.47759218723816e-07,-7.87853822066994e-06
